考区,单位名称,单位层级,职位名称,专业要求,职位性质,职位简介,申论考试类别,报考人员身份要求,招录人数,基层工作年限要求,性别要求,最低学历要求,最高年龄要求,学位要求,户籍要求,职业资格证书等要求,其他招录条件及说明,最低服务年限要求,笔试最低开考比例,是否需体能测评,体检标准,咨询电话1,咨询电话2,年份,最低入面分数,行测成绩,申论成绩
益阳市,沅江市信访局,县市区机关,文秘,中国语言文学类；法学大类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,62.1,,
益阳市,沅江市司法局,县市区派驻乡镇街道机关,乡镇司法所法律1,法学大类,公务员,,县乡卷,不限,3,不限,男,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,57.65,,
益阳市,沅江市司法局,县市区派驻乡镇街道机关,乡镇司法所法律2,法学大类,公务员,,县乡卷,不限,3,不限,女,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,56.2,,
益阳市,沅江市财政事务中心,县市区机关,财务管理,经济财务类；工商管理类,参照公务员法管理人员,,县乡卷,不限,2,不限,不限,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,61.2,,
益阳市,沅江市农村经济经营服务站,县市区机关,综合管理,不限,参照公务员法管理人员,,县乡卷,不限,3,不限,不限,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,58.45,,
益阳市,沅江市林业综合执法大队,县市区机关,林业执法,法学大类；农学大类,参照公务员法管理人员,,县乡卷,不限,3,不限,不限,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,57.75,,
益阳市,沅江市水政监察大队,县市区机关,文秘、法律专干,中国语言文学类；法学类,参照公务员法管理人员,,县乡卷,不限,2,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,58.55,,
益阳市,沅江市文学艺术界联合会,县市区机关,文艺专干,艺术大类,参照公务员法管理人员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,63.1,,
益阳市,中共沅江市委党校,县市区机关,文秘,文史哲大类,参照公务员法管理人员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07372738400,,2022,61.7,,
益阳市,中共南县县委办公室,县市区机关,文秘1,不限,公务员,,县乡卷,不限,1,不限,男,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.1,,
益阳市,中共南县县委办公室,县市区机关,文秘2,不限,公务员,,县乡卷,不限,1,不限,女,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,62.15,,
益阳市,中共南县纪律检查委员会南县监察委员会,县市区机关,派驻纪检监察组办案综合1,法学类,公务员,,县乡卷,不限,2,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,58.4,,
益阳市,中共南县纪律检查委员会南县监察委员会,县市区机关,派驻纪检监察组办案综合2,工商管理类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,61.6,,
益阳市,中共南县纪律检查委员会南县监察委员会,县市区机关,派驻纪检监察组办案综合3,不限,公务员,,县乡卷,不限,4,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,63.1,,
益阳市,中共南县纪律检查委员会南县监察委员会,县市区机关,派驻纪检监察组文秘,中国语言文学类；新闻传播学类；法学类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,61.05,,
益阳市,中共南县县委组织部,县市区机关,综合管理1,公共管理类；电子信息类,公务员,,县乡卷,不限,1,不限,男,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,66.5,,
益阳市,中共南县县委组织部,县市区机关,综合管理2,公共管理类；电子信息类,公务员,,县乡卷,不限,1,不限,女,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,62.0,,
益阳市,中共南县县委组织部,县市区机关,综合管理3,不限,公务员,,县乡卷,不限,2,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,61.7,,
益阳市,中共南县县委巡察工作领导小组办公室,县市区机关,综合管理,文史哲大类；法学大类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,63.15,,
益阳市,南县人民政府办公室,县市区机关,文秘,文史哲大类；法学大类,公务员,,县乡卷,不限,2,不限,男,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,56.95,,
益阳市,南县人民政府办公室,县市区机关,城镇管理,公安学类；土建类；测绘类；交通运输类,公务员,,县乡卷,不限,2,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.65,,
益阳市,南县城市管理和综合执法局,县市区机关,法律,法学类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,52.3,,
益阳市,南县交通运输局,县市区机关,综合管理,经济和管理学大类；法学大类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,58.2,,
益阳市,南县行政审批服务局,县市区机关,计算机,电子信息类；计算机类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,61.65,,
益阳市,南县市场监督管理局,县市区机关,法律,法学；知识产权；信用风险管理与法律防控；经济法学；法律,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,54.6,,
益阳市,南县市场监督管理局,县市区机关,行政执法,不限,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.1,,
益阳市,南县审计局,县市区机关,工程审计,工程管理；工程造价；工程审计,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,58.55,,
益阳市,南县自然资源局,县市区机关,综合管理,土建类；测绘类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,59.5,,
益阳市,南县司法局,县市区机关,社区矫正,不限,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.2,,
益阳市,南县教育局,县市区机关,工程管理,工程管理；工程造价；工程审计,公务员,需经常深入到教育基层的工程建设工地，适合男性。,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.6,,
益阳市,南县,县市区机关,县直机关文秘1,中国语言文学类；新闻传播学类；政治学类,公务员,,县乡卷,不限,4,不限,男,大学本科,35周岁,学士,不限,不限,按照从高分到低分的原则，由考生选择服务单位：南县卫生健康局1人、南县住房和城乡建设局1人、南县信访局1人、南县市场监督管理局1人。上述单位将根据实际录用人数进行调整。,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.55,,
益阳市,南县,县市区机关,县直机关文秘2,中国语言文学类；新闻传播学类；政治学类,公务员,,县乡卷,不限,3,不限,女,大学本科,35周岁,学士,不限,不限,按照从高分到低分的原则，由考生选择服务单位：南县信访局1人、南县市场监督管理局1 人、南县退役军人事务局1人。上述单位将根据实际录用人数进行调整。,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,59.6,,
益阳市,南县,县市区机关,县直机关财务管理,会计学；财务管理；审计学；财务会计教育；会计；财务会计与审计；会计信息技术,公务员,,县乡卷,不限,2,不限,不限,大学本科,35周岁,不限,不限,不限,按照从高分到低分的原则，由考生选择服务单位：南县乡村振兴局1人、南县教育局1人。上述单位将根据实际录用人数进行调整。,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,61.3,,
益阳市,南县,县市区机关,县直机关综合管理,不限,公务员,,县乡卷,不限,7,不限,不限,大学本科,35周岁,学士,不限,不限,按照从高分到低分的原则，由考生选择服务单位：南县行政审批服务局1人、南县应急管理局1人、南县民政局1人、南县人力资源和社会保障局2人、南县水利局1人、南县乡村振兴局1人。上述单位将根据实际录用人数进行调整。,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,63.05,,
益阳市,南县妇女联合会,县市区机关,综合管理,不限,参照公务员法管理人员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,,,
益阳市,南县红十字会,县市区机关,救护培训,教育学大类；医学大类,参照公务员法管理人员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,54.6,,
益阳市,南县医疗保障事务中心,县市区机关,综合管理,医学大类,参照公务员法管理人员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,58.9,,
益阳市,南县劳动监察局,县市区机关,行政执法,文史哲大类；法学大类,参照公务员法管理人员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,,,
益阳市,南县自然资源执法监察大队,县市区机关,综合管理,土建类；测绘类,参照公务员法管理人员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,59.05,,
益阳市,南县,县市区机关,县直（参公）综合管理 1,不限,参照公务员法管理人员,,县乡卷,不限,4,不限,男,大学本科,35周岁,不限,不限,不限,按照从高分到低分的原则，由考生选择服务单位：南县供销合作社联合社1人、南县城市社会经济调查队1人、南县农村经济经营服务站1人、南县公路建设养护中心1人。上述单位将根据实际录用人数进行调整。,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,59.45,,
益阳市,南县,县市区机关,县直（参公）综合管理 2,不限,参照公务员法管理人员,,县乡卷,不限,3,不限,女,大学本科,35周岁,不限,不限,不限,按照从高分到低分的原则，由考生选择服务单位：南县供销合作社联合社2人、南县城市社会经济调查队1人。上述单位将根据实际录用人数进行调整。,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,56.9,,
益阳市,南县,县市区机关,县直（参公）财务管理,会计学；财务管理；审计学；财务会计教育；财务会计与审计；会计信息技术,参照公务员法管理人员,,县乡卷,不限,4,不限,不限,大学本科,35周岁,不限,不限,不限,按照从高分到低分的原则，由考生选择服务单位：南县公路建设养护中心1人、南县农村经济经营服务站1人、南县就业服务中心1人、南县财政事务中心1人。上述单位将根据实际录用人数进行调整。,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.65,,
益阳市,南县市场监督管理局,县市区派驻乡镇街道机关,乡镇市场监督管理所行政执法,机械类；材料类,公务员,,县乡卷,不限,4,不限,不限,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,61.6,,
益阳市,南县司法局,县市区派驻乡镇街道机关,乡镇司法助理员1,文史哲大类；经济和管理学大类；法学大类,公务员,,县乡卷,不限,2,不限,男,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,61.25,,
益阳市,南县司法局,县市区派驻乡镇街道机关,乡镇司法助理员2,文史哲大类；经济和管理学大类；法学大类,公务员,,县乡卷,不限,2,不限,女,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.65,,
益阳市,南县,乡镇办机关,乡镇机关财务,会计学；财务管理；审计学；财务会计教育；财务会计与审计；会计信息技术,公务员,,县乡卷,2022年普通高校毕业生,3,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,59.9,,
益阳市,南县,乡镇办机关,乡镇机关生产安全监管,不限,公务员,,县乡卷,不限,12,不限,男,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,60.45,,
益阳市,南县,乡镇办机关,乡镇机关综合管理（“四项目”与大学生退役士兵）,不限,公务员,,县乡卷,“四项目”人员及大学生退役士兵,1,2年以上,不限,大学专科,35周岁,不限,益阳市,不限, 无,5年,5:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,55.4,,
益阳市,南县,乡镇办机关,乡镇机关综合管理（乡镇事业站所人员）1,不限,公务员,,县乡卷,乡镇（街道）事业站所工作人员,2,2年以上,男,大学专科,40周岁,不限,不限,不限,本县市区乡镇（街道）事业站所（含县市区直机关派驻乡镇、街道单位，也包括乡镇、街道机构改革后更名为中心、大队的乡镇、街道所属事业单位）连续工作3年以上、且近3年年度考核均为合格及以上的在编在岗的工作人员。,5年,3:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,42.25,,
益阳市,南县,乡镇办机关,乡镇机关综合管理（乡镇事业站所人员）2,不限,公务员,,县乡卷,乡镇（街道）事业站所工作人员,1,2年以上,女,大学专科,40周岁,不限,不限,不限,本县市区乡镇（街道）事业站所（含县市区直机关派驻乡镇、街道单位，也包括乡镇、街道机构改革后更名为中心、大队的乡镇、街道所属事业单位）连续工作3年以上、且近3年年度考核均为合格及以上的在编在岗的工作人员。,5年,3:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,53.5,,
益阳市,南县,乡镇办机关,乡镇机关综合管理（村、社区干部）1,不限,公务员,,县乡卷,村（社区）干部,3,2年以上,男,高中或中专,40周岁,不限,不限,不限,本县市区现任村（社区）“两委”成员，且连续任职满3年或累计任职满5年。,5年,3:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,46.15,,
益阳市,南县,乡镇办机关,乡镇机关综合管理（村、社区干部）2,不限,公务员,,县乡卷,村（社区）干部,2,2年以上,女,高中或中专,40周岁,不限,不限,不限,本县市区现任村（社区）“两委”成员，且连续任职满3年或累计任职满5年。,5年,3:1,否,公务员录用体检通用标准,07375666232,07375666233,2022,52.55,,
益阳市,中共大通湖区委区管委会办公室,县市区机关,综合管理1,哲学类；中国语言文学类；新闻传播学类；历史学类,公务员,,县乡卷,不限,1,不限,男,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,,,
益阳市,中共大通湖区委区管委会办公室,县市区机关,综合管理2,哲学类；中国语言文学类；新闻传播学类；历史学类,公务员,,县乡卷,不限,1,不限,女,大学本科,35周岁,学士,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,59.7,,
益阳市,中共大通湖区委宣传统战部,县市区机关,文秘1,文史哲大类,公务员,,县乡卷,不限,1,不限,男,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,55.4,,
益阳市,中共大通湖区委宣传统战部,县市区机关,文秘2,文史哲大类,公务员,,县乡卷,不限,1,不限,女,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,59.85,,
益阳市,益阳市大通湖区民政和人力资源社会保障局,县市区机关,财务,会计学；财务管理；审计学；会计；财务会计与审计,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,64.6,,
益阳市,益阳市大通湖区医疗保障事务中心,县市区机关,财务,会计学；财务管理；审计学；会计；财务会计与审计,参照公务员法管理人员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,56.4,,
益阳市,益阳市大通湖区交通运输局,县市区机关,综合管理,交通运输类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,58.3,,
益阳市,益阳市大通湖区交通运输局,县市区机关,财务,会计学；财务管理；审计学；会计；财务会计与审计,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,62.55,,
益阳市,益阳市大通湖区农业农村和水利局,县市区机关,综合管理1,汉语言文学；汉语言；秘书学,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,55.8,,
益阳市,益阳市大通湖区农业农村和水利局,县市区机关,综合管理2,经济和管理学大类,公务员,,县乡卷,不限,1,不限,不限,大学本科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,58.25,,
益阳市,益阳市大通湖区发展改革和财政局,县市区机关,综合管理1,文史哲大类；经济和管理学大类,公务员,,县乡卷,不限,1,不限,女,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,59.55,,
益阳市,益阳市大通湖区发展改革和财政局,县市区机关,综合管理2,文史哲大类；经济和管理学大类,公务员,,县乡卷,不限,2,不限,男,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,61.15,,
益阳市,益阳市大通湖区财政事务中心,县市区机关,综合管理1,文史哲大类；经济和管理学大类,参照公务员法管理人员,,县乡卷,不限,3,不限,男,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,60.85,,
益阳市,益阳市大通湖区财政事务中心,县市区机关,综合管理2,文史哲大类；经济和管理学大类,参照公务员法管理人员,,县乡卷,不限,4,不限,女,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,58.8,,
益阳市,益阳市大通湖区自然资源局,县市区机关,综合管理1,不限,公务员,,县乡卷,不限,2,不限,男,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,59.1,,
益阳市,益阳市大通湖区自然资源局,县市区机关,综合管理2,不限,公务员,,县乡卷,不限,1,不限,女,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,56.25,,
益阳市,益阳市大通湖区,乡镇办机关,乡镇机关综合管理1,不限,公务员,,县乡卷,不限,5,不限,男,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,60.95,,
益阳市,益阳市大通湖区,乡镇办机关,乡镇机关综合管理2,不限,公务员,,县乡卷,不限,4,不限,女,大学专科,35周岁,不限,不限,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,59.4,,
益阳市,益阳市大通湖区,乡镇办机关,乡镇机关综合管理3,不限,公务员,,县乡卷,乡镇（街道）事业站所工作人员,2,2年以上,不限,大学专科,40周岁,不限,不限,不限,本县市区乡镇（街道）事业站所（含县市区直机关派驻乡镇、街道单位，也包括乡镇、街道机构改革后更名为中心、大队的乡镇、街道所属事业单位）连续工作3年以上、且近3年年度考核均为合格及以上的在编在岗的工作人员。,5年,3:1,否,公务员录用体检通用标准,0737-5665043,,2022,52.8,,
益阳市,益阳市大通湖区,乡镇办机关,乡镇机关综合管理4,不限,公务员,,县乡卷,“四项目”人员及大学生退役士兵,1,2年以上,不限,大学专科,35周岁,不限,益阳市,不限, 无,5年,5:1,否,公务员录用体检通用标准,0737-5665043,,2022,56.65,,
益阳市,益阳市大通湖区,乡镇办机关,乡镇机关综合管理5,不限,公务员,,县乡卷,村（社区）干部,1,2年以上,不限,高中或中专,40周岁,不限,不限,不限,本县市区现任村（社区）“两委”成员，且连续任职满3年或累计任职满5年。,5年,3:1,否,公务员录用体检通用标准,0737-5665043,,2022,50.45,,
郴州市,中共郴州市纪律检查委员会、郴州市监察委员会,市州直机关,执纪执法（2022年普通高校毕业生）,法学大类,公务员,其中1名安排在市纪委监委机关，2名安排在市纪委监委派驻纪检监察组,省市卷,2022年普通高校毕业生,3,不限,不限,研究生,35周岁,硕士,不限,法律职业资格A证,无,不限,5:1,否,公务员录用体检通用标准,0735-2876808,0735-2876872,2022,60.55,,
郴州市,郴州市档案馆,市州直机关,文字综合,中国语言文学类；新闻传播学类,参照公务员法管理人员,从事文稿撰写、信息宣传及综合协调等工作。,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2871218,,2022,64.35,,
郴州市,郴州市档案馆,市州直机关,档案管理,历史学类；公共管理类；图书档案管理类,参照公务员法管理人员,从事档案管理工作,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2871218,,2022,66.0,,
郴州市,郴州市档案馆,市州直机关,计算机管理,计算机类,参照公务员法管理人员,从事档案信息化、信息系统建设和档案数据安全管理等工作。,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2871218,,2022,65.3,,
郴州市,中共郴州市委宣传部,市州直机关,文字综合,文史哲大类,公务员,,省市卷,不限,1,2年以上,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2871354,,2022,66.1,,
郴州市,中共郴州市委巡察工作领导小组办公室,市州直机关,文字综合（2022年普通高校毕业生）,文史哲大类；经济和管理学大类；法学大类,公务员,负责文字综合、巡察业务和信息管理等工作。,省市卷,2022年普通高校毕业生,3,不限,不限,大学本科,35周岁,学士,不限,不限,中共党员（含预备党员）,不限,5:1,否,公务员录用体检通用标准,0735-2876077,0735-2876856,2022,67.85,,
郴州市,郴州市老干部活动中心,市州直机关,文字综合,文史哲大类；法学大类,参照公务员法管理人员,从事文字综合工作,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2238177,0735-2153378,2022,64.2,,
郴州市,郴州市老干部活动中心,市州直机关,财务管理,会计学；财务管理；审计学,参照公务员法管理人员,从事财务工作,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2238177,0735-2153378,2022,69.7,,
郴州市,郴州市老干部活动中心,市州直机关,信息系统管理,电子信息类；计算机类,参照公务员法管理人员,从事信息化管理工作,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2238177,0735-2153378,2022,66.65,,
郴州市,郴州市救助管理站,市州直机关,文字综合1,汉语言文学；新闻学；法学；心理学,参照公务员法管理人员,,省市卷,不限,1,不限,男,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2287163,,2022,63.3,,
郴州市,郴州市救助管理站,市州直机关,文字综合2,汉语言文学；新闻学；法学；心理学,参照公务员法管理人员,,省市卷,不限,1,不限,女,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2287163,,2022,64.85,,
郴州市,郴州市救助管理站,市州直机关,财务,财务管理；会计；会计电算化,参照公务员法管理人员,,省市卷,不限,1,2年以上,不限,大学专科,35周岁,不限,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2287163,,2022,60.55,,
郴州市,郴州市救助管理站,市州直机关,医务,临床医学；中西医临床医学；中医学,参照公务员法管理人员,,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2287163,,2022,59.55,,
郴州市,郴州市司法局,市州直机关,狱所管理,不限,公务员,,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,法律职业资格C证及以上,无,不限,5:1,否,公务员录用体检通用标准,0735-2366657,,2022,66.7,,
郴州市,郴州市劳动保障监察支队,市州直机关,执法,法学类,参照公务员法管理人员,从事劳动保障监察执法工作。,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2330603,,2022,62.15,,
郴州市,郴州市失业保险服务中心,市州直机关,财务,经济学；财政学；商务经济学；经济与金融；劳动经济学；会计学；财务管理；审计学；会计；财务会计与审计,参照公务员法管理人员,,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2330603,,2022,67.25,,
郴州市,郴州市自然资源和规划局,市州直机关,规划管理,建筑学；城乡规划；土木工程,公务员,,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2362095,0735-2362012,2022,71.05,,
郴州市,郴州市自然资源行政执法支队,市州直机关,文字综合（2022年普通高校毕业生）,汉语言文学；汉语言；秘书学；新闻学,参照公务员法管理人员,,省市卷,2022年普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2362020,0735-2362095,2022,66.65,,
郴州市,郴州市自然资源行政执法支队,市州直机关,执法（2022年普通高校毕业生）1,工程管理；土地资源管理；测绘工程；遥感科学与技术,参照公务员法管理人员,此职位需经常下乡开展土地、矿山执法工作，有井下执法内容。,省市卷,2022年普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2362020,0735-2362095,2022,67.35,,
郴州市,郴州市自然资源行政执法支队,市州直机关,执法（2022年普通高校毕业生）2,建筑学；城乡规划；土木工程；城市设计,参照公务员法管理人员,此职位需经常下乡开展土地、矿山执法工作，有井下执法内容。,省市卷,2022年普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2362020,0735-2362095,2022,65.65,,
郴州市,郴州市自然资源行政执法支队,市州直机关,执法（2022年普通高校毕业生）3,法学类,参照公务员法管理人员,,省市卷,2022年普通高校毕业生,1,不限,男,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2362020,0735-2362095,2022,51.3,,
郴州市,郴州市自然资源行政执法支队,市州直机关,执法（2022年普通高校毕业生）4,法学类,参照公务员法管理人员,,省市卷,2022年普通高校毕业生,1,不限,女,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2362020,0735-2362095,2022,63.4,,
郴州市,郴州市自然资源行政执法支队,市州直机关,执法1,工程管理；土地资源管理；测绘工程；遥感科学与技术,参照公务员法管理人员,此职位需经常下乡开展土地、矿山执法工作，有井下执法内容。,省市卷,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,0735-2362020,0735-2362095,2022,65.0,,
